Player,AVHL ID,22-23 G,22-23 A,22-23 P,23-24 G,23-24 A,23-24 P,24-25 G,24-25 A,24-25 P,25-26 G,25-26 A,25-26 P,Total G,Total A,Total PTS
Macklin Celebrini,0516,0,0,0,0,0,0,0,0,0,6,26,32,6,26,32
Will Smith,0517,0,0,0,0,0,0,0,0,0,19,13,32,19,13,32
Dmitry Orlov,0518,4,13,17,7,40,47,8,28,36,5,16,21,24,97,121
William Eklund,0519,4,3,7,12,17,29,13,20,33,21,29,50,50,69,119
Tyler Toffoli,0520,13,18,31,19,39,58,15,48,63,27,38,65,74,143,217
Alexander Wennberg,0521,10,12,22,10,50,60,9,37,46,19,15,34,48,114,162
Kiefer Sherwood,0522,4,4,8,5,9,14,14,12,26,30,28,58,53,53,106
Mario Ferraro,0523,2,19,21,12,12,24,4,14,18,10,20,30,28,65,93
John Klingberg,0525,7,23,30,5,30,35,10,26,36,0,0,0,22,79,101
Adam Gaudette,0526,0,0,0,13,29,42,0,0,0,11,12,23,24,41,65
Nick Leddy,0527,4,11,15,8,26,34,6,23,29,10,36,46,28,96,124
Philipp Kurashev,0528,0,0,0,12,21,33,16,36,52,8,10,18,36,67,103
Vincent Desharnais,0530,0,0,0,0,0,0,0,0,0,4,17,21,4,17,21
Barclay Goodrow,0531,0,0,0,12,19,31,10,13,23,9,12,21,31,44,75
Ty Dellandrea,0532,5,5,10,6,14,20,16,17,33,3,21,24,30,57,87
Pavol Regenda,0535,0,0,0,8,31,39,0,0,0,0,0,0,8,31,39
Ryan Reaves,0537,0,0,0,8,5,13,0,0,0,0,0,0,8,5,13
Logan Couture,0539,8,22,30,17,55,72,20,46,66,16,38,54,61,161,222
Vince Dunn,0540,3,12,15,7,31,38,14,30,44,9,39,48,33,112,145
Jared McCann,0541,15,14,29,19,20,39,36,37,73,32,36,68,102,107,209
Brandon Montour,0542,1,21,22,5,27,32,12,61,73,12,19,31,30,128,158
Matty Beniers,0543,0,0,0,22,22,44,13,27,40,17,30,47,52,79,131
